"DateTime","Final price","Historical Low"
"2021-01-21 23:50:06",79.99,79.99
"2021-10-20 17:05:40",59.99,59.99
"2021-11-01 17:53:39",79.99,59.99
"2021-11-24 18:09:57",51.99,51.99
"2021-12-01 18:20:54",79.99,51.99
"2021-12-08 18:20:04",51.99,51.99
"2021-12-13 18:02:51",79.99,51.99
"2021-12-22 18:10:20",51.99,51.99
"2021-12-22 18:13:15",51.99,51.99
"2022-01-05 18:28:25",79.99,51.99
"2022-01-20 19:30:03",59.99,51.99
"2022-01-27 18:24:21",29.99,29.99
"2022-02-03 18:24:32",59.99,29.99
"2022-03-14 18:40:08",29.99,29.99
"2022-03-21 17:23:01",59.99,29.99
"2022-04-25 17:02:42",29.99,29.99
"2022-05-02 17:22:56",59.99,29.99
"2022-05-03 23:25:22",79.99,29.99
"2022-05-04 03:20:03",59.99,29.99
"2022-05-31 17:02:19",51.99,29.99
"2022-06-01 03:01:03",29.99,29.99
"2022-06-01 06:01:10",51.99,29.99
"2022-06-01 17:02:24",29.99,29.99
"2022-06-13 18:30:02",59.99,29.99
"2022-06-23 17:27:20",29.99,29.99
"2022-06-23 17:30:47",29.99,29.99
"2022-07-07 17:27:55",59.99,29.99
"2022-07-22 00:05:02",39.99,29.99
"2022-09-08 17:02:35",29.99,29.99
"2022-09-19 17:23:01",39.99,29.99
"2022-09-20 23:20:06",0,
"2022-09-21 03:10:02",39.99,29.99
"2022-10-19 17:02:30",29.99,29.99
"2022-11-01 17:22:54",39.99,29.99
"2022-11-22 18:15:47",29.99,29.99
"2022-11-29 18:24:31",39.99,29.99
"2022-12-08 18:02:33",19.99,19.99
"2022-12-14 18:02:34",39.99,19.99
"2022-12-22 18:12:09",19.99,19.99
"2023-01-05 18:24:57",39.99,19.99
"2023-01-19 18:02:38",19.99,19.99
"2023-01-31 18:02:32",39.99,19.99
"2023-03-03 18:02:31",19.99,19.99
"2023-03-23 17:24:29",39.99,19.99
"2023-04-24 17:23:17",19.99,19.99
"2023-05-07 17:02:37",39.99,19.99
"2023-06-06 17:02:37",19.99,19.99
"2023-06-20 17:02:36",39.99,19.99
"2023-06-29 17:30:35",19.99,19.99
"2023-07-13 17:24:46",39.99,19.99
"2023-07-24 17:23:13",19.99,19.99
"2023-08-07 17:23:10",39.99,19.99
"2023-09-11 17:23:03",19.99,19.99
"2023-09-25 17:23:07",39.99,19.99
"2023-10-25 17:02:13",15.99,15.99
"2023-11-07 17:05:07",39.99,15.99
"2023-11-21 18:13:25",15.99,15.99
"2023-11-28 18:30:22",39.99,15.99
"2023-12-07 18:02:45",15.99,15.99
"2024-01-04 18:39:18",39.99,15.99
"2024-01-24 18:02:11",15.99,15.99
"2024-01-30 18:02:13",39.99,15.99
"2024-02-29 18:02:22",15.99,15.99
"2024-03-21 17:30:31",39.99,15.99
"2024-04-15 17:23:17",15.99,15.99
"2024-04-29 17:23:04",39.99,15.99
"2024-06-07 17:02:20",15.99,15.99
"2024-06-21 17:02:19",39.99,15.99
"2024-06-27 17:53:36",15.99,15.99
"2024-07-11 17:30:12",39.99,15.99
"2024-07-22 17:23:24",15.99,15.99
"2024-08-05 17:23:10",39.99,15.99
"2024-09-16 17:24:51",15.99,15.99
"2024-09-29 17:03:00",39.99,15.99
"2024-10-29 17:02:14",15.99,15.99
"2024-11-12 17:05:03",39.99,15.99
"2024-11-27 18:26:10",15.99,15.99
"2024-12-04 18:30:29",39.99,15.99
"2024-12-12 18:02:29",15.99,15.99
"2025-01-02 19:01:27",39.99,15.99
"2025-01-27 18:21:24",15.99,15.99
"2025-02-10 18:21:21",39.99,15.99
"2025-03-12 17:01:25",15.99,15.99
"2025-03-24 17:21:16",39.99,15.99
"2025-04-23 17:01:19",15.99,15.99
"2025-05-06 17:01:10",39.99,15.99
"2025-06-05 17:01:17",9.99,9.99
"2025-06-19 17:01:11",39.99,9.99
"2025-06-26 18:57:50",9.99,9.99
"2025-07-10 17:11:08",39.99,9.99
"2025-08-11 17:11:11",9.99,9.99
"2025-08-24 17:01:12",39.99,9.99
"2025-09-23 17:01:21",9.99,9.99
"2025-10-06 17:11:13",39.99,9.99
"2025-10-29 17:01:20",9.99,9.99
"2025-11-11 17:05:03",39.99,9.99
"2025-11-18 18:01:16",14.99,9.99
"2025-12-02 18:01:13",39.99,9.99
"2025-12-11 00:08:54",39.99,9.99
"2025-12-11 00:08:54",,9.99
