"DateTime","Final price","Historical Low"
"2022-10-04 15:10:02",59.99,59.99
"2023-01-27 17:15:02",0,
"2023-01-27 18:23:03",59.99,59.99
"2023-03-16 17:30:23",50.99,50.99
"2023-03-23 17:26:07",59.99,50.99
"2023-05-15 17:24:06",47.99,47.99
"2023-05-29 17:24:01",59.99,47.99
"2023-06-29 17:21:25",41.99,41.99
"2023-07-13 17:26:29",59.99,41.99
"2023-07-27 17:03:48",41.99,41.99
"2023-08-10 17:05:10",59.99,41.99
"2023-09-11 17:23:54",35.99,35.99
"2023-09-25 17:23:59",59.99,35.99
"2023-10-26 17:24:15",35.99,35.99
"2023-11-02 17:28:40",59.99,35.99
"2023-11-21 18:22:52",29.99,29.99
"2023-11-28 18:32:16",59.99,29.99
"2023-12-04 18:24:25",26.99,26.99
"2023-12-11 18:24:34",59.99,26.99
"2023-12-21 18:13:30",23.99,23.99
"2024-01-04 18:34:24",59.99,23.99
"2024-01-29 18:23:25",23.99,23.99
"2024-02-12 18:23:56",59.99,23.99
"2024-03-14 17:47:01",23.99,23.99
"2024-03-28 17:03:13",59.99,23.99
"2024-04-29 17:23:57",20.99,20.99
"2024-05-13 17:24:10",59.99,20.99
"2024-06-13 17:03:11",17.99,17.99
"2024-06-17 17:23:46",59.99,17.99
"2024-06-27 17:55:33",20.99,17.99
"2024-07-11 17:32:04",59.99,17.99
"2024-08-05 17:24:05",20.99,17.99
"2024-08-19 17:24:05",59.99,17.99
"2024-09-19 17:03:00",20.99,17.99
"2024-09-26 17:02:54",59.99,17.99
"2024-10-28 17:24:03",17.99,17.99
"2024-11-11 17:05:03",59.99,17.99
"2024-11-27 18:30:14",17.99,17.99
"2024-12-04 18:32:21",59.99,17.99
"2024-12-11 18:02:54",14.99,14.99
"2025-01-02 19:01:25",59.99,14.99
"2025-01-30 18:01:24",14.99,14.99
"2025-02-13 18:01:21",59.99,14.99
"2025-03-13 17:38:08",14.99,14.99
"2025-03-27 17:01:10",59.99,14.99
"2025-05-01 17:01:24",14.99,14.99
"2025-05-15 17:01:09",59.99,14.99
"2025-06-19 17:01:17",11.99,11.99
"2025-06-26 19:57:43",11.99,11.99
"2025-07-10 17:11:08",59.99,11.99
"2025-07-28 17:11:18",11.99,11.99
"2025-08-11 17:11:08",59.99,11.99
"2025-09-11 17:01:12",11.99,11.99
"2025-09-25 17:01:12",59.99,11.99
"2025-09-29 17:08:25",11.99,11.99
"2025-10-06 17:11:11",59.99,11.99
"2025-11-20 18:01:17",8.99,8.99
"2025-12-04 18:01:12",59.99,8.99
"2025-12-11 00:09:31",59.99,8.99
"2025-12-11 00:09:31",,8.99
